,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
123,G001821935,10069,1,0.0001,795,763,12,kingdom,1.0,0.96,0.0,0.0,0.0,0.96,0.92,True,k__Bacteria (UID1452),924,151,101,58.88,0.0,0.0,740502,366,12,24,93778,42420,61708,30839,166561,78608,43.26,0.89,88.66,11,809,49,102,0,0,0,0,,12,12,12,12,8,7,740502,740502,740502,740502,675830,645119,12,166561,740502,43.26,93778,53807,3,6,49.43
124,G001920395,10069,1,0.0001,1202,1128,61,class,0.97,0.91,0.32,0.05,0.11,0.77,0.71,True,k__Archaea (UID2),207,145,103,60.29,0.0,0.0,1055503,20,61,62,19712,19712,17303,17023,63005,63005,39.08,1.56,87.64,11,1249,52,93,0,0,0,0,,61,60,60,47,9,1,1055503,1055193,1055193,937165,329498,63005,61,63005,1055503,39.08,19712,12790,19,35,1.89
125,G001424305,10069,0,0.0,4113,4039,9,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,p__Bacteroidetes (UID2605),350,315,209,97.13,0.6,0.0,4753721,89,9,11,769368,769361,528191,432148,1238064,1237048,38.38,0.75,87.77,11,4167,6,307,2,0,0,0,,9,9,8,8,8,8,4753721,4753721,4751941,4751941,4751941,4751941,9,1238064,4753721,38.38,769368,455085,3,5,2.84
126,G001562155,10069,0,0.0,3927,3883,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,c__Gammaproteobacteria (UID4761),52,693,297,99.5,0.28,0.0,4666357,0,1,1,4666357,4666357,4666357,4666357,4666357,4666357,43.58,0.0,88.6,11,3914,3,688,2,0,0,0,,1,1,1,1,1,1,4666357,4666357,4666357,4666357,4666357,4666357,1,4666357,4666357,43.58,4666357,4666357,1,1,0.0
127,G001909285,10069,0,0.0,3060,3006,14,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True,c__Bacilli (UID259),750,273,151,99.34,1.55,25.0,2920709,1981,23,48,2832066,586070,126987,60806,2832066,960310,47.96,4.71,90.48,11,3046,1,270,1,1,0,0,,23,4,2,2,2,2,2920709,2914535,2908595,2908595,2908595,2908595,23,2832066,2920709,47.96,2832066,2832066,1,1,67.83
128,G001742785,10069,2,0.0002,1408,1368,1,kingdom,1.0,0.97,0.0,0.02,0.05,0.96,0.93,True,p__Euryarchaeota (UID4),45,299,202,79.12,2.81,22.22,1390915,16992,1,170,1390915,9252,1390915,8081,1390915,34802,48.48,0.0,84.39,11,1458,53,239,6,1,0,0,,1,1,1,1,1,1,1390915,1390915,1390915,1390915,1390915,1390915,1,1390915,1390915,48.48,1390915,1390915,1,1,1221.64
129,G000294515,10069,1,0.0001,5130,5074,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1663),488,307,182,98.17,0.0,0.0,5848211,0,1,1,5848211,5848211,5848211,5848211,5848211,5848211,69.65,0.0,86.31,11,5147,4,303,0,0,0,0,,1,1,1,1,1,1,5848211,5848211,5848211,5848211,5848211,5848211,1,5848211,5848211,69.65,5848211,5848211,1,1,0.0
130,G001818445,10069,0,0.0,895,878,26,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID1452),924,151,101,72.44,0.0,0.0,904089,1786,26,57,44182,34300,34772,15829,109455,66910,36.61,1.25,90.3,11,887,31,120,0,0,0,0,,26,26,26,24,12,4,904089,904089,904089,889767,671647,352906,26,109455,904089,36.61,44182,24137,7,13,197.55
131,G001302685,10069,1,0.0001,1228,1096,147,class,0.82,0.74,0.26,0.28,0.78,0.75,0.56,True,k__Bacteria (UID1452),924,151,101,46.32,0.99,0.0,1135001,234,147,149,7745,7688,7721,7615,21435,21435,63.48,1.7,88.49,11,1222,76,74,1,0,0,0,,147,147,147,24,0,0,1135001,1135001,1135001,330741,0,0,147,21435,1135001,63.48,7745,5821,52,94,20.62
132,G000297775,10069,2,0.0002,2413,2363,11,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,p__Proteobacteria (UID3887),1487,256,161,98.14,0.62,0.0,2725870,60417,11,59,352570,71256,247806,45177,461795,224194,61.6,2.5,82.77,11,2364,3,252,1,0,0,0,,11,11,11,10,10,10,2725870,2725870,2725870,2717759,2717759,2717759,11,461795,2725870,61.6,352570,217692,4,7,2216.43
133,G001560635,10069,15,0.0015,2320,2280,5,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,c__Thermoprotei (UID147),54,217,168,99.4,0.0,0.0,2222815,87,5,5,583799,583778,444563,444545,1068235,1068195,36.71,0.87,87.53,11,2378,1,216,0,0,0,0,,5,4,4,4,4,4,2222815,2222549,2222549,2222549,2222549,2222549,5,1068235,2222815,36.71,583799,437146,2,3,3.91
134,G000686845,10069,2,0.0002,6753,6709,73,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.99,True,f__Paenibacillaceae (UID971),46,481,186,98.95,2.16,0.0,7486340,1931,73,77,270760,257961,102552,97200,693751,693751,46.04,2.09,87.67,11,6781,4,465,12,0,0,0,,73,73,60,54,41,31,7486340,7486340,7450968,7402198,7190244,6809252,73,693751,7486340,46.04,270760,165155,10,19,25.79
135,G001821725,10069,0,0.0,741,708,55,kingdom,1.0,0.96,0.0,0.0,0.0,0.94,0.89,True,k__Bacteria (UID1453),901,171,117,47.09,0.85,0.0,669974,8002,55,185,14585,6659,12181,3578,33817,20310,44.98,1.82,82.86,11,775,72,98,1,0,0,0,,55,55,55,30,2,0,669974,669974,669974,495682,67552,0,55,33817,669974,44.98,14585,9797,18,31,1194.37
136,G000745125,10069,1,0.0001,2418,2398,12,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Lactobacillales (UID355),490,334,183,99.45,3.55,66.67,2518244,0,12,12,716574,716574,209853,209853,935114,935114,35.4,3.08,83.96,11,2390,1,327,5,0,0,1,,12,12,12,9,4,4,2518244,2518244,2518244,2496868,2428395,2428395,12,935114,2518244,35.4,716574,496055,2,3,0.0
137,G000576595,10069,2,0.0002,4289,4220,131,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True,o__Actinomycetales (UID1663),488,308,184,100.0,0.0,0.0,4636528,0,140,140,80706,80706,33118,33118,196110,196110,71.39,2.67,90.17,11,4269,0,308,0,0,0,0,,140,112,90,84,56,34,4636528,4621384,4569602,4523177,4038994,3253588,140,196110,4636528,71.39,80706,43512,20,39,0.0
138,G000384955,10069,0,0.0,1009,999,35,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.94,True,c__Gammaproteobacteria (UID4443),356,451,270,55.29,0.37,0.0,957144,2,35,35,84335,84335,27346,27346,350664,350664,33.1,1.81,95.22,11,1015,162,288,1,0,0,0,,35,28,15,13,9,6,957144,952034,931290,918096,845238,737058,35,350664,957144,33.1,84335,58100,3,6,0.21
139,G000979995,10069,0,0.0,3501,3253,200,kingdom,0.99,0.92,0.0,0.0,0.0,0.95,0.87,True,p__Euryarchaeota (UID49),95,228,153,100.0,0.65,0.0,4006860,562,204,231,36997,34064,19641,17343,135580,135580,41.6,3.69,75.48,11,3466,0,227,1,0,0,0,,204,196,149,109,56,19,4006860,4000949,3862148,3566651,2680304,1384306,204,135580,4006860,41.6,36997,20012,34,71,14.03
140,G001316245,10069,1,0.0001,3679,3483,24,order,0.97,0.92,0.14,0.03,0.05,0.81,0.74,True,k__Archaea (UID146),59,174,136,93.75,0.74,0.0,2443876,0,25,25,126836,126836,97755,97755,312298,312298,46.73,1.7,87.4,11,3924,10,163,1,0,0,0,,25,22,22,22,19,18,2443876,2441505,2441505,2441505,2386461,2339208,25,312298,2443876,46.73,126836,92543,6,11,0.0
141,G000230555,10069,4,0.0004,3837,3777,2,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,o__Rhizobiales (UID3447),356,408,244,99.18,0.55,0.0,3948887,0,2,2,3944837,3944837,1974443,1974443,3944837,3944837,61.36,3.72,89.96,11,3854,2,404,2,0,0,0,,2,2,1,1,1,1,3948887,3948887,3944837,3944837,3944837,3944837,2,3944837,3948887,61.36,3944837,3944837,1,1,0.0
142,G001870905,10069,3,0.0003,3959,3843,222,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True,p__Cyanobacteria (UID2143),129,472,368,99.37,1.63,66.67,4795982,1957,223,257,38056,36953,21506,18653,133193,133193,48.82,2.4,83.34,11,4010,4,464,3,0,1,0,,223,197,156,133,70,23,4795982,4777470,4671303,4500907,3431894,1784276,223,133193,4795982,48.82,38056,23075,37,77,40.8
143,G001778655,10069,4,0.0004,983,870,34,phylum,0.78,0.69,0.07,0.05,0.11,0.74,0.51,True,k__Bacteria (UID203),5449,104,58,77.01,0.0,0.0,916096,0,34,34,51706,51706,26944,26944,88589,88589,44.53,1.38,91.58,11,1040,15,89,0,0,0,0,,34,34,34,24,11,7,916096,916096,916096,840612,637556,493880,34,88589,916096,44.53,51706,18281,7,14,0.0
144,G900101015,10069,6,0.0006,3263,3152,76,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.94,True,f__Lachnospiraceae (UID1255),90,354,174,97.97,0.98,0.0,4151587,5307,76,87,126910,112383,54626,47658,295334,219923,50.83,4.63,83.74,11,3228,8,342,4,0,0,0,,76,76,60,51,37,25,4151587,4151587,4116196,4048365,3794241,3326621,76,295334,4151587,50.83,126910,78914,12,22,127.83
145,G000195275,10069,1,0.0001,2746,2672,2,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.94,True,f__Spirochaetaceae (UID2535),33,249,143,100.0,0.7,0.0,2897425,0,2,2,2731853,2731853,1448712,1448712,2731853,2731853,39.13,0.34,89.87,11,2753,0,248,1,0,0,0,,2,2,2,2,2,2,2897425,2897425,2897425,2897425,2897425,2897425,2,2731853,2897425,39.13,2731853,2731853,1,1,0.0
146,G000526315,10069,0,0.0,4134,4112,2,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Rhizobiales (UID3642),107,485,316,100.0,0.16,0.0,4382767,0,2,2,4381575,4381575,2191383,2191383,4381575,4381575,69.35,2.89,88.47,11,4117,0,484,1,0,0,0,,2,2,1,1,1,1,4382767,4382767,4381575,4381575,4381575,4381575,2,4381575,4382767,69.35,4381575,4381575,1,1,0.0
147,G001869295,10069,1,0.0001,2502,2399,540,family,0.97,0.93,0.46,0.09,0.2,0.94,0.88,False,o__Lactobacillales (UID374),471,341,187,98.13,8.56,93.75,2036137,0,560,560,13057,13057,3635,3635,44698,44698,37.94,3.3,88.72,11,2526,5,314,17,5,0,0,,560,218,120,69,12,0,2036137,1882431,1634115,1261743,385142,0,560,44698,2036137,37.94,13057,6552,48,102,3.39
148,G000719275,10069,0,0.0,6497,6456,70,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Actinomycetales (UID1815),120,572,265,99.75,1.74,9.09,6980005,0,81,81,802082,802082,86172,86172,2019446,2019446,69.91,4.53,90.45,11,6472,2,559,11,0,0,0,,81,29,23,21,18,15,6980005,6959181,6948987,6936656,6884158,6772663,81,2019446,6980005,69.91,802082,317084,3,7,0.0
149,G001000475,10069,0,0.0,859,817,44,kingdom,1.0,0.95,0.0,0.0,0.0,0.93,0.88,True,k__Bacteria (UID1452),924,151,101,57.85,1.98,50.0,760225,277,44,49,23054,20455,17277,15509,53708,53708,44.51,1.72,91.05,11,871,59,90,2,0,0,0,,44,44,44,33,9,1,760225,760225,760225,678546,314274,53708,44,53708,760225,44.51,23054,12983,12,24,36.44
150,G001508895,10069,0,0.0,1492,1469,284,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True,o__Thermoanaerobacterales (UID1420),32,488,209,62.51,0.96,100.0,1275041,0,284,284,4863,4863,4489,4489,26532,26532,33.99,2.06,90.08,11,1492,196,290,2,0,0,0,,284,284,75,16,1,0,1275041,1275041,610021,221444,26532,0,284,26532,1275041,33.99,4863,3292,81,161,0.0
151,G001780645,10069,1,0.0001,887,863,38,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.95,True,k__Bacteria (UID1453),901,171,117,52.82,0.85,0.0,814440,185,38,44,28454,28454,21432,18505,59363,59363,44.29,1.0,92.25,11,923,64,106,1,0,0,0,,38,38,38,28,14,2,814440,814440,814440,741420,500504,112893,38,59363,814440,44.29,28454,18223,11,20,22.71
152,G000008545,10069,0,0.0,1864,1859,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,k__Bacteria (UID209),5443,101,56,100.0,1.79,100.0,1860725,0,1,1,1860725,1860725,1860725,1860725,1860725,1860725,46.25,0.0,94.91,11,1866,0,100,1,0,0,0,,1,1,1,1,1,1,1860725,1860725,1860725,1860725,1860725,1860725,1,1860725,1860725,46.25,1860725,1860725,1,1,0.0
153,G001875345,10069,1,0.0001,1106,1084,25,kingdom,0.98,0.96,0.0,0.0,0.0,0.98,0.95,True,p__Euryarchaeota (UID3),148,188,125,79.6,2.0,33.33,1177165,0,25,25,58515,58515,47086,47086,135963,135963,36.57,0.74,96.56,11,1107,40,145,3,0,0,0,,25,25,25,25,19,10,1177165,1177165,1177165,1177165,1057483,765610,25,135963,1177165,36.57,58515,34349,7,14,0.0
154,G001423045,10069,0,0.0,3731,3696,4,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1593),69,400,198,99.24,2.19,0.0,4022070,6729,4,110,2203228,84940,1005517,36503,2203228,428307,71.83,8.39,89.81,11,3710,2,394,3,1,0,0,,4,4,4,3,3,3,4022070,4022070,4022070,4016431,4016431,4016431,4,2203228,4022070,71.83,2203228,1342302,1,2,167.3
155,G000422425,10069,6,0.0006,4571,4531,99,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4444),263,506,232,100.0,1.26,0.0,5325321,11007,99,110,104794,88398,53791,48311,301566,222165,47.87,3.51,84.44,11,4545,0,500,6,0,0,0,,99,99,76,69,53,40,5325321,5325321,5266771,5219386,4973411,4473273,99,301566,5325321,47.87,104794,61017,16,32,206.69
156,G000247605,10069,0,0.0,3649,3587,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,o__Clostridiales (UID1120),304,249,142,100.0,1.06,0.0,4044777,0,1,1,4044777,4044777,4044777,4044777,4044777,4044777,39.34,0.0,86.22,11,3631,0,247,2,0,0,0,,1,1,1,1,1,1,4044777,4044777,4044777,4044777,4044777,4044777,1,4044777,4044777,39.34,4044777,4044777,1,1,0.0
157,G001801635,10069,8,0.0008,1419,1377,100,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True,c__Gammaproteobacteria (UID4266),1097,270,172,81.44,1.74,0.0,1457137,536,100,118,15545,15280,14571,12344,67844,51100,43.12,1.84,90.93,11,1424,40,226,4,0,0,0,,100,100,100,62,12,3,1457137,1457137,1457137,1174974,456493,172442,100,67844,1457137,43.12,15545,11043,27,55,36.78
158,G000337475,10069,3,0.0003,3711,3610,80,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True,f__Halobacteriaceae (UID96),40,417,263,99.19,1.27,0.0,3522035,167,94,94,113767,113762,37468,37466,315206,315200,61.8,4.45,84.02,11,3657,3,410,4,0,0,0,,94,63,49,43,35,25,3522035,3509191,3472388,3429518,3306646,2899332,94,315206,3522035,61.8,113767,60543,10,21,4.74
159,G000428145,10069,0,0.0,3647,3618,84,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Betaproteobacteria (UID3888),323,387,234,99.96,0.85,0.0,3968450,3550,86,91,77354,76141,46144,43570,406285,406285,62.64,4.91,86.92,11,3632,1,384,2,0,0,0,,86,86,69,60,45,29,3968450,3968450,3938133,3874439,3618801,3009176,86,406285,3968450,62.64,77354,50147,13,29,89.46
160,G000012485,10069,0,0.0,2172,2119,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.96,True,k__Bacteria (UID2570),433,273,183,98.91,0.0,0.0,2364842,0,1,1,2364842,2364842,2364842,2364842,2364842,2364842,57.33,0.0,90.32,11,2198,2,271,0,0,0,0,,1,1,1,1,1,1,2364842,2364842,2364842,2364842,2364842,2364842,1,2364842,2364842,57.33,2364842,2364842,1,1,0.0
161,G000235885,10069,0,0.0,2637,2532,146,genus,0.94,0.9,0.66,0.17,0.41,0.94,0.85,False,o__Bacteroidales (UID2716),92,487,270,98.33,0.37,0.0,3097322,4653,148,263,53811,23912,20927,11759,164580,106628,49.0,6.11,87.32,11,2688,5,481,1,0,0,0,,148,119,86,68,42,20,3097322,3075103,3003561,2876562,2435919,1623232,148,164580,3097322,49.0,53811,28804,19,38,150.23
162,G000014505,10069,3,0.0003,1792,1776,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Lactobacillales (UID462),85,367,162,99.38,0.0,0.0,1832387,0,1,1,1832387,1832387,1832387,1832387,1832387,1832387,37.36,0.0,88.39,11,1752,1,366,0,0,0,0,,1,1,1,1,1,1,1832387,1832387,1832387,1832387,1832387,1832387,1,1832387,1832387,37.36,1832387,1832387,1,1,0.0
163,G000006925,10069,1,0.0001,4936,4910,2,genus,0.95,0.94,0.01,0.23,0.55,0.99,0.94,True,f__Enterobacteriaceae (UID5203),42,1396,314,99.7,0.21,0.0,4828820,6,2,2,4607202,4607196,2414410,2414407,4607202,4607196,50.65,3.46,86.08,11,5003,6,1386,4,0,0,0,,2,2,2,2,2,2,4828820,4828820,4828820,4828820,4828820,4828820,2,4607202,4828820,50.65,4607202,4607202,1,1,0.12
164,G000970775,10069,0,0.0,2020,1910,9,kingdom,1.0,0.95,0.0,0.0,0.0,0.97,0.92,True,g__Lactobacillus (UID377),91,430,154,97.4,1.95,0.0,2116151,15284,9,23,613917,248655,235127,91342,801551,551345,35.76,6.44,87.41,11,1997,6,421,2,1,0,0,,9,9,6,6,5,5,2116151,2116151,2110585,2110585,2099451,2099451,9,801551,2116151,35.76,613917,425919,2,3,722.25
165,G900115085,10069,1,0.0001,3940,3893,78,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,f__Xanthomonadaceae (UID4214),55,659,290,99.2,1.05,0.0,4635835,1335,78,82,102601,102601,59433,56518,335533,335533,64.99,4.98,87.46,11,3902,4,647,8,0,0,0,,78,78,58,54,42,35,4635835,4635835,4590428,4562819,4361378,4103023,78,335533,4635835,64.99,102601,70769,12,25,28.8
166,G002006995,10069,1,0.0001,4781,4719,60,family,0.99,0.97,0.14,0.02,0.05,0.99,0.96,True,f__Enterobacteriaceae (UID5054),223,876,305,99.95,0.94,0.0,5015434,1136,61,63,205222,205222,82220,79592,722810,722810,54.04,4.51,87.33,11,4774,2,869,5,0,0,0,,61,61,47,36,31,24,5015434,5015434,4988297,4905460,4818987,4583939,61,722810,5015434,54.04,205222,110028,7,14,22.65
167,G000684975,10069,0,0.0,5851,5823,64,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.98,True,g__Burkholderia (UID4006),64,769,248,99.17,2.01,0.0,6475434,0,64,64,204381,204381,101178,101178,558996,558996,65.2,2.77,87.46,11,5856,3,756,10,0,0,0,,64,58,44,42,38,34,6475434,6471798,6443479,6428337,6359481,6206971,64,558996,6475434,65.2,204381,130401,10,20,0.0
168,G900102125,10069,0,0.0,5643,5590,29,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,f__Paenibacillaceae (UID972),41,523,183,99.73,0.0,0.0,6461569,5687,29,39,484153,393399,222812,165535,964337,964337,46.61,3.12,85.68,11,5657,1,522,0,0,0,0,,29,29,25,24,20,20,6461569,6461569,6453116,6445768,6387274,6387274,29,964337,6461569,46.61,484153,270484,5,9,88.01
169,G001484985,10069,1,0.0001,3278,3207,46,kingdom,1.0,0.98,0.0,0.0,0.0,0.87,0.85,True,f__Moraxellaceae (UID4680),86,689,365,100.0,0.05,0.0,3399092,0,46,46,150400,150400,73893,73893,447438,447438,38.99,2.6,88.31,11,3241,0,688,1,0,0,0,,46,43,36,34,28,23,3399092,3396780,3376752,3362103,3255033,3036535,46,447438,3399092,38.99,150400,79343,8,16,0.0
170,G001776535,10069,0,0.0,867,825,61,kingdom,1.0,0.95,0.0,0.0,0.0,0.85,0.8,True,k__Bacteria (UID1452),924,151,101,61.55,0.0,0.0,797094,2863,61,118,14049,9427,13067,6730,64562,60329,39.69,2.06,90.18,11,889,49,102,0,0,0,0,,61,61,61,22,7,3,797094,797094,797094,509559,290619,178307,61,64562,797094,39.69,14049,8088,14,32,359.18
171,G001822215,10069,3,0.0003,610,536,45,phylum,0.78,0.69,0.14,0.28,0.83,0.6,0.41,True,k__Bacteria (UID1452),924,151,101,57.23,0.99,100.0,570380,188,45,55,15046,15046,12675,10367,42047,42047,50.48,1.16,90.22,11,633,50,100,1,0,0,0,,45,45,45,25,3,0,570380,570380,570380,432947,107202,0,45,42047,570380,50.48,15046,10041,13,25,32.96
172,G000007845,10069,0,0.0,5510,5451,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,g__Bacillus (UID902),44,1171,324,99.23,0.15,0.0,5227293,0,1,1,5227293,5227293,5227293,5227293,5227293,5227293,35.38,0.0,84.11,11,5474,3,1167,1,0,0,0,,1,1,1,1,1,1,5227293,5227293,5227293,5227293,5227293,5227293,1,5227293,5227293,35.38,5227293,5227293,1,1,0.0
173,G000436935,10069,12,0.0012,2483,2435,134,order,1.0,0.98,0.13,0.08,0.18,0.97,0.95,True,o__Clostridiales (UID1226),155,274,157,96.5,0.0,0.0,2691512,6406,137,264,47653,20019,19646,10170,174408,100032,38.37,2.16,87.93,11,2415,6,268,0,0,0,0,,137,117,88,64,29,13,2691512,2676932,2590759,2407314,1817206,1218965,137,174408,2691512,38.37,47653,20865,16,38,238.01
174,G001308105,10069,2,0.0002,6251,6067,17,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,o__Cytophagales (UID2936),47,454,336,99.26,2.68,0.0,8251744,0,17,17,1575724,1575724,485396,485396,3776595,3776595,41.92,2.08,82.73,11,6519,3,441,10,0,0,0,,17,17,17,17,17,11,8251744,8251744,8251744,8251744,8251744,7996645,17,3776595,8251744,41.92,1575724,858818,2,3,0.0
175,G001403775,10069,0,0.0,1998,1980,17,genus,0.99,0.98,0.05,0.06,0.12,0.99,0.97,True,o__Actinomycetales (UID1572),580,286,171,94.15,0.1,100.0,2232000,40,17,17,621927,621916,131294,131291,695305,695297,63.38,3.2,90.98,11,2014,16,268,2,0,0,0,,17,14,7,7,7,6,2232000,2229252,2213442,2213442,2213442,2175210,17,695305,2232000,63.38,621927,517104,2,3,1.79
176,G001458535,10069,7,0.0007,2114,2104,133,genus,0.99,0.99,0.34,0.02,0.05,0.99,0.97,True,k__Bacteria (UID2570),433,273,183,82.77,1.91,0.0,2227388,305,133,144,26952,26952,16747,15465,90907,90907,37.35,1.86,93.86,11,2136,42,227,4,0,0,0,,133,133,92,73,29,8,2227388,2227388,2084393,1949005,1237140,561230,133,90907,2227388,37.35,26952,15930,25,52,13.69
177,G001720395,10069,2,0.0002,4262,4001,16,kingdom,1.0,0.94,0.0,0.0,0.0,0.94,0.88,True,c__Gammaproteobacteria (UID4201),1164,275,174,96.79,0.0,0.0,3897429,353455,16,263,3047478,27214,243589,13475,3047478,207006,39.93,3.27,77.25,11,4290,7,268,0,0,0,0,,16,16,14,13,9,5,3897429,3897429,3891914,3885367,3814931,3651714,16,3047478,3897429,39.93,3047478,3047478,1,1,9068.93
178,G000996165,10069,0,0.0,802,797,44,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.97,True,k__Bacteria (UID1452),924,151,101,56.35,0.2,100.0,729641,234,44,47,22455,22455,16582,15519,64491,64491,40.11,1.47,92.65,11,831,51,99,1,0,0,0,,44,44,44,26,9,1,729641,729641,729641,600514,334005,64491,44,64491,729641,40.11,22455,13374,11,22,32.07
179,G001772695,10069,0,0.0,987,968,5,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,k__Bacteria (UID1452),924,161,108,65.9,0.0,0.0,985345,201,5,12,258439,178351,197069,82095,433625,222164,40.54,1.41,89.91,11,1001,43,118,0,0,0,0,,5,5,5,5,3,3,985345,985345,985345,985345,941742,941742,5,433625,985345,40.54,258439,249678,2,3,20.4
180,G000469445,10069,3,0.0003,3712,3546,143,genus,0.81,0.77,0.44,0.11,0.26,0.94,0.73,True,o__Clostridiales (UID1212),172,263,149,97.15,0.0,0.0,3594235,14200,143,285,58637,29959,25134,12561,169075,96145,59.47,5.35,84.87,11,3566,7,256,0,0,0,0,,143,129,94,80,51,24,3594235,3584748,3504388,3394290,2925311,1977368,143,169075,3594235,59.47,58637,29980,21,43,395.08
181,G001039615,10069,1,0.0001,5199,4812,891,genus,0.74,0.69,0.23,0.07,0.16,0.82,0.56,True,p__Cyanobacteria (UID2192),79,584,458,99.34,0.87,20.0,4549724,28,918,918,9196,9196,4956,4956,32299,32299,37.66,3.2,83.69,11,5201,3,578,2,1,0,0,,918,752,308,136,13,0,4549724,4434176,3303888,2078561,367376,0,918,32299,4549724,37.66,9196,4665,157,331,0.62
182,G900089455,10069,0,0.0,4401,4362,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,c__Betaproteobacteria (UID3959),235,420,211,100.0,0.0,0.0,4848101,0,1,1,4848101,4848101,4848101,4848101,4848101,4848101,67.43,0.0,91.06,11,4374,0,420,0,0,0,0,,1,1,1,1,1,1,4848101,4848101,4848101,4848101,4848101,4848101,1,4848101,4848101,67.43,4848101,4848101,1,1,0.0
183,G000300115,10069,5,0.0005,8129,7982,43,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,p__Cyanobacteria (UID2189),82,579,450,99.11,0.0,0.0,9975142,11100,43,154,520995,141306,231980,64701,2130100,955510,40.74,1.85,79.73,11,8025,4,575,0,0,0,0,,43,39,37,37,34,25,9975142,9972725,9969111,9969111,9931170,9577115,43,2130100,9975142,40.74,520995,334816,6,12,111.28
184,G001293545,10069,5,0.0005,3343,3226,292,order,0.87,0.84,0.08,0.03,0.06,0.97,0.82,True,k__Bacteria (UID1452),924,163,110,98.18,5.0,16.67,3569367,1639,308,444,28409,16185,11588,8035,76877,54987,59.57,3.89,92.27,11,3321,2,155,6,0,0,0,,308,235,168,110,47,8,3569367,3535803,3353586,2943595,1927163,509464,308,76877,3569367,59.57,28409,13828,42,89,45.92
185,G000768875,10069,2,0.0002,1605,1532,33,kingdom,1.0,0.95,0.0,0.0,0.0,0.95,0.91,True,f__Porphyromonadaceae (UID2622),35,475,318,98.92,0.0,0.0,1961776,23,37,37,133546,133546,53020,53020,330914,330912,53.86,4.86,88.07,11,1601,6,469,0,0,0,0,,37,31,27,24,17,12,1961776,1959191,1945541,1928021,1801850,1634867,37,330914,1961776,53.86,133546,76170,5,10,1.17
